,scene_num,what,who,directions
778,152,dialog,ENGINEER ROBOT,
779,152,dialog,COOPER,
780,152,direction,,
781,152,direction,,
782,152,dialog,COOPER,(CONT'D);(SMILES)
783,152,direction,,
784,152,dialog,COOPER,(CONT'D)
785,152,direction,,
786,152,dialog,TARS,
787,152,direction,,
788,153,scene,,
789,154,direction,,
790,154,dialog,COOPER,
791,154,direction,,
792,154,dialog,DOYLE,
793,154,direction,,
794,155,scene,,
795,156,direction,,
796,156,direction,,
797,157,scene,,
798,158,direction,,
799,158,direction,,
800,159,scene,,
801,160,direction,,
802,160,direction,,
803,161,scene,,
804,162,direction,,
805,162,direction,,
806,162,dialog,TARS,
807,162,dialog,COOPER,
808,162,direction,,
809,162,dialog,TARS,
810,162,dialog,COOPER,(SMILES)
811,162,direction,,
812,162,dialog,TARS,
813,162,dialog,COOPER,
814,162,dialog,TARS,
815,162,direction,,
816,163,scene,,
817,164,direction,,
818,164,dialog,TOM,
819,164,direction,,
820,164,dialog,TOM,(CONT'D)
821,164,direction,,
822,164,dialog,DONALD,
823,164,direction,,
824,165,scene,,
825,166,direction,,
826,166,direction,,
827,166,direction,,
828,166,dialog,TARS,
829,166,dialog,COOPER,
830,166,dialog,TARS,
831,166,direction,,
832,166,dialog,COOPER,
833,166,direction,,
834,166,direction,,
835,166,dialog,BRAND,
836,166,direction,,
837,166,dialog,COOPER,
838,166,dialog,BRAND,
839,166,direction,,
840,167,scene,,
841,168,direction,,
842,168,dialog,CASE,
843,168,dialog,COOPER,
844,168,dialog,CASE,
845,168,dialog,COOPER,(EMBARRASSED)
846,168,dialog,CASE,
847,168,dialog,COOPER,
848,168,dialog,CASE,
849,168,dialog,COOPER,
850,168,dialog,CASE,
851,168,dialog,COOPER,
852,168,direction,,
853,168,dialog,CASE,
854,168,dialog,COOPER,
855,168,dialog,CASE,(SMILES)
856,168,direction,,
857,168,dialog,CASE,(CONT'D)
858,168,dialog,COOPER,(DEFENSIVE)
859,168,dialog,CASE,
860,168,dialog,COOPER,
861,168,dialog,CASE,
862,168,direction,,
863,168,dialog,CASE,(CONT'D)
864,168,dialog,COOPER,
865,168,dialog,CASE,(BEAT)
866,168,direction,,
867,169,scene,,
868,170,direction,,
869,170,dialog,COOPER,(BEAT);(BEAT)
870,170,direction,,
871,170,direction,,
872,171,scene,,
873,172,direction,,
874,172,dialog,BRAND,
875,172,direction,,
876,172,dialog,COOPER,
877,172,dialog,BRAND,
878,172,dialog,COOPER,
879,172,dialog,BRAND,
880,172,direction,,
881,172,dialog,COOPER,
882,172,dialog,BRAND,
883,172,dialog,COOPER,
884,172,dialog,BRAND,(looks at him)
885,172,dialog,COOPER,
886,172,direction,,
887,173,scene,,
888,174,direction,,
889,174,direction,,
890,174,direction,,
891,175,scene,,
892,176,direction,,
893,176,dialog,CASE,
894,176,direction,,
895,177,scene,,
896,178,direction,,
897,178,direction,,
898,179,scene,,
899,180,direction,,
900,180,dialog,CASE,
901,180,direction,,
902,180,direction,,
903,181,scene,,
904,182,direction,,
905,183,scene,,
906,184,direction,,
907,184,direction,,
908,184,direction,,
909,184,direction,,
910,185,scene,,
911,186,direction,,
912,187,scene,,
913,188,direction,,
914,189,scene,,
915,190,direction,,
916,190,direction,,
917,191,scene,,
918,192,direction,,
919,192,direction,,
920,192,direction,,
921,192,direction,,
922,192,dialog,TARS,
923,192,dialog,COOPER,(FIRM)
924,192,direction,,
925,193,scene,,
926,194,direction,,
927,194,direction,,
928,195,scene,,
929,196,direction,,
930,196,dialog,COOPER,
931,196,dialog,ROTH,(SMILING)
932,196,direction,,
933,196,dialog,CASE,
934,196,direction,,
935,196,direction,,
936,196,dialog,COOPER,
937,196,dialog,CASE,
938,196,direction,,
939,196,dialog,COOPER,
940,196,direction,,
941,196,dialog,DOYLE,
942,196,direction,,
943,196,direction,,
944,196,dialog,DOYLE,(CONT'D)
