"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-19-1988",2020-07-07,"WW01667","Conductivity","µS/cm",730,5,NA,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","Conductivity","µS/cm",260,5,NA,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","Conductivity","µS/cm",350,5,NA,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","Conductivity","µS/cm",320,5,NA,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","Conductivity","µS/cm",210,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","Copper","µg/L",0.691,0.0346,0.1,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Copper","µg/L",0.226,0.0346,0.1,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","Copper","µg/L",0.223,0.0346,0.1,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","Copper","µg/L",0.263,0.0346,0.1,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","Copper","µg/L",0.202,0.0346,0.1,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","Copper","µg/L",0.167,0.0346,0.1,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","Copper","µg/L",0.173,0.0346,0.1,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","Copper","µg/L",0.439,0.0346,0.1,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","Copper","µg/L",0.242,0.0346,0.1,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","Copper","µg/L",0.225,0.0346,0.1,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","Copper","µg/L",0.176,0.0346,0.1,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","Copper","µg/L",0.546,0.0346,0.1,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","Copper","µg/L",0.404,0.0346,0.1,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","Copper","µg/L",1.37,0.0346,0.1,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","Copper","µg/L",0.225,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","Nickel","µg/L",0.911,0.0331,0.1,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Nickel","µg/L",0.108,0.0331,0.1,"not.censored",4218563.1,908764.299999998
"MW-21-1988",2020-07-07,"WW01659","Nickel","µg/L",0.174,0.0331,0.1,"not.censored",4218063,908984.000000007
"MW-16-1988",2020-07-07,"WW01661","Nickel","µg/L",0.158,0.0331,0.1,"not.censored",4217592.7,909113.699999994
"MW-20-1988",2020-07-07,"WW01663","Nickel","µg/L",0.46,0.0331,0.1,"not.censored",4217582.6,909533.999999998
"MW-15-1988",2020-07-07,"WW01666","Nickel","µg/L",0.316,0.0331,0.1,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","Nickel","µg/L",0.358,0.0331,0.1,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","Nickel","µg/L",0.59,0.0331,0.1,"not.censored",4217612.3,910354.099999997
